gene,set,immune_beta_unadj,immune_p_unadj,immune_beta_adj,immune_p_adj,CYT_beta_adj,CYT_p_adj,melanocyte_lineage
MIR450A1,background,2.5849394142282115e-25,1.0,-4.722942803736365e-22,0.0,1.052070341590882e-21,0.0,False
TUBA3D,background,0.05087508168706684,1.7477593866766045e-07,0.049178367565943966,4.949300819648966e-07,0.028023067707409175,0.0053333579038180225,False
RNA5SP263,background,-0.007647510194112935,0.15459904114112005,-0.006920132103762795,0.19682658150882246,-0.007235987572251046,0.19621037705389016,False
LINC03077,background,-0.020229733304207465,0.03634327836677541,-0.020094469058009004,0.03842827968222954,-0.007623079676232319,0.44557890670640654,False
USP17L16P,background,-0.018379690633175957,0.04611767492952974,-0.017827274433390147,0.05401710595546233,-0.007585680587929556,0.4190535237615616,False
FBXO32,background,0.1824588370657514,1.5677066712506902e-79,0.18200129263678788,1.7823705319830052e-78,0.06853522540043593,5.480978926976906e-12,False
SPAG11B,background,-0.010491708599501166,0.27981138188221655,-0.01064946784143994,0.27469262707519965,-0.014543285474143963,0.14725351556770222,False
IQCF2,background,-0.009745182907688997,0.30929534133561004,-0.010358872672891433,0.28183731005194806,-0.009673214065245494,0.3285258009782218,False
WAS,background,0.8758546049940088,0.0,0.8762684030346389,0.0,0.6042007312330322,0.0,False
CXorf38,background,0.2759095435937814,2.322393993387992e-183,0.27600495360373645,6.107050100589686e-182,0.17603603885130711,7.114837058367572e-72,False
MIR181C,background,-0.01028978926799333,0.02984277139384788,-0.010345953012944253,0.03010048771169803,-0.003983795717834359,0.35433280015490765,False
POLDIP2,background,-0.10541733634733753,2.0274403622880886e-27,-0.1065744262657368,9.120169332933144e-28,-0.10952487998951574,1.8412201060260328e-28,False
LOC100420990,background,-0.018035121023334377,0.03498645487882826,-0.018133560350995274,0.03527307863539188,-0.015218247222116234,0.0948216431075633,False
TXK,background,0.4341047524122747,0.0,0.43356358519260646,0.0,0.3285724883416363,5.001308872962586e-258,False
MATR3P2,background,0.017000541510225457,0.08038750736977197,0.018261183075794878,0.06147068498723746,0.005631178235260681,0.5751427250409589,False
COPDA1,background,0.48529575193111113,0.0,0.4846480307224437,0.0,0.3164758378719678,4.605053251715813e-225,False
OR7E26P,background,0.01864886815850296,0.05562385728337884,0.018618786852639964,0.05707961484514696,0.011343767695925256,0.26015273073987055,False
GNG4,background,0.0175963035188901,0.07092974831505792,0.017184258274126733,0.07907474473544139,-0.018259187356102758,0.06888599710384645,False
RNU6-499P,background,2.5849394142282115e-25,1.0,-4.722942803736365e-22,0.0,1.052070341590882e-21,0.0,False
IGHV1-2,background,0.5855487258335282,0.0,0.5848942883781113,0.0,0.3901066442392839,0.0,False
LINC01482,background,0.07005619658532176,6.099982184333567e-13,0.07091229248826796,4.0103395383426554e-13,0.04205625832171337,3.123564911360096e-05,False
XDH,background,0.11281095959556843,3.4945027054930596e-31,0.11261815058074803,7.872025918535375e-31,0.0665538178690649,3.412728366653729e-11,False
RNA5SP19,background,-0.001910116019193391,0.21197727722455662,-0.0012782115714346377,0.347658893371536,-0.0007491071739623115,0.6037270258082705,False
FAM106A,background,0.128236049759217,7.229774139311436e-40,0.12950856506214595,2.6578466193563332e-40,0.07527148211064723,3.843062066371096e-14,False
HTRA3,background,0.30438049158896674,1.136379583559534e-224,0.3036596935862213,1.1309949470282735e-221,0.16235079021769308,6.0797931338984734e-61,False
MIR99B,background,2.5849394142282115e-25,1.0,-4.722942803736365e-22,0.0,1.052070341590882e-21,0.0,False
SMIM18,background,-0.021435335381626827,0.027805955208294965,-0.020243250588519564,0.03857036348275292,-0.01719991655613908,0.08898371559839026,False
USE1,background,-0.09752164302374985,1.1038121779192703e-23,-0.09829761538430466,7.589743705402914e-24,-0.06443513593530736,8.376635147482604e-11,False
EFCAB14,background,0.19099878579988575,4.148710814830386e-87,0.19079602702322265,3.3780894607444976e-86,0.07395184799945721,7.721881937318309e-14,False
RN7SL379P,background,-0.009614943753414457,0.17197374434396637,-0.009667424055451722,0.17264709991549515,-0.013673578777443123,0.05725771117746032,False
LOC100533852,background,-0.014440349027045598,0.1351777137235195,-0.014496058291458802,0.1353323863853769,-0.018475857251825444,0.06542892611439309,False
MTERF4,background,0.11489061381100568,2.74382454522227e-32,0.11543502819138918,2.5686939834769926e-32,0.05175356935763529,1.5443842026827943e-07,False
EIF1AX-AS1,background,0.005144517977599578,0.5975341371564208,0.005644988143028749,0.5640542106863202,0.004185502733715499,0.6781286260636747,False
SPINDOC,background,0.021874215403837657,0.024763746766043017,0.021154734474116452,0.0306251087538147,0.009101422234223598,0.35958561367583197,False
RN7SL693P,background,-0.043628821297996584,6.833871908112763e-06,-0.043126589095244854,9.51004281261676e-06,-0.02739646115641713,0.005674500099808302,False
