gene,rho_immune_hot,rho_immune_cold,delta_rho,z_fisher,pvalue,hdi_low_a,hdi_high_a,hdi_low_b,hdi_high_b,prob_neg_a,prob_neg_b,ess_a,ess_b,rhat_a,rhat_b,fdr
ZEB1,-0.45263002732198543,-0.37890278011209433,-0.0737272472098911,-1.3869080791161548,0.16546979397642858,-0.5267241280363191,-0.3811702147068423,-0.45881305647872717,-0.3057523937318345,1.0,1.0,2008.0,1660.0,1.0,1.0,0.48633820900122077
DMRTA1,-0.18907958476383646,-0.10202294731747125,-0.08705663744636521,-1.38345966339963,0.16652396725438623,-0.2668333778547982,-0.09551799454186544,-0.19717160227392055,-0.02083896876350866,1.0,0.985,2515.0,2426.0,1.0,1.0,0.48633820900122077
NFKB2,-0.1948757145835136,-0.10829029747514873,-0.08658541710836487,-1.3784932623462836,0.16805104666275494,-0.272327153817919,-0.10476709065862111,-0.19996145674312893,-0.02221000014872626,1.0,0.991,2504.0,2029.0,1.0,1.0,0.4875691551202298
FDPS,-0.21227531492502658,-0.1264616391731168,-0.08581367575190976,-1.3742450785555915,0.16936561036005593,-0.2921319670958122,-0.12597247303790615,-0.2105588227241046,-0.0346738414038254,1.0,0.9965,1948.0,2346.0,1.0,1.0,0.48817146515545534
TWIST1,-0.3579093872555493,-0.27893777144959064,-0.07897161580595868,-1.3671838591693373,0.17156768327283312,-0.4395127364286516,-0.28584954746071256,-0.3547195532427192,-0.19772293863308477,1.0,1.0,2147.0,2488.0,1.0,1.0,0.4913074566449312
EPS8,-0.2415381425838928,-0.15772694771525714,-0.08381119486863567,-1.3577937278829184,0.1745291457072261,-0.32519551461636936,-0.16017421134508636,-0.24162874029011222,-0.0746747028310461,1.0,0.9985,2508.0,2352.0,1.0,1.0,0.4965635693992691
ENSA,-0.20506248164364477,-0.12092724422756418,-0.08413523741608059,-1.3443878059922136,0.1788230149148331,-0.2915758024022188,-0.11829306105642479,-0.204818642015405,-0.0316508504070257,1.0,0.997,2275.0,2480.0,1.0,1.0,0.50274388148802
AKT3,-0.21144538105993776,-0.29230767480783315,0.08086229374789539,1.3430530253772581,0.1792548046101683,-0.3031035066052316,-0.1323611084639038,-0.3761536323152337,-0.21101332932941247,1.0,1.0,2287.0,2315.0,1.0,1.0,0.50274388148802
FOXR2,-0.2182790002832938,-0.2986795132113381,0.08040051292804432,1.3402095086316481,0.18017724111526046,-0.3042384808011858,-0.1302480696256763,-0.38032112490604814,-0.22074963118662666,1.0,1.0,2231.0,2444.0,1.0,1.0,0.50274388148802
RASD1,-0.10338936673632229,-0.18722470357834142,0.08383533684201913,1.3321034460498657,0.18282619812168754,-0.192764692651839,-0.014878257085310709,-0.27666564900128515,-0.1100077044820964,0.9885,1.0,2427.0,2350.0,1.0,1.0,0.50274388148802
GNAI1,-0.12296622941138671,-0.2061998276251024,0.08323359821371568,1.3306748994613975,0.1832960055966677,-0.21488655005948093,-0.033575744757439185,-0.2836824905692259,-0.1180091060696346,0.998,1.0,2026.0,2470.0,1.0,1.0,0.50274388148802
GLIPR1L2,-0.13282884868429412,-0.2157343938002999,0.08290554511600579,1.3299297538259676,0.18354141705118188,-0.22027548358727334,-0.0429219169157129,-0.30292711246163645,-0.13769517341187143,0.9955,1.0,2354.0,2257.0,1.0,1.0,0.50274388148802
CDKN2A,-0.23559411113264608,-0.15412396203435108,-0.081470149098295,-1.3172241532261564,0.18776350008823972,-0.3137676011611301,-0.1476094172987661,-0.24090281499077393,-0.07162596438919522,1.0,0.9995,2314.0,2515.0,1.0,1.0,0.5072104148729221
BET1L,-0.23142759683652395,-0.3098166731986034,0.07838907636207945,1.315718867099548,0.18826841926704319,-0.3265377850623987,-0.15358817271897024,-0.38786614518843665,-0.2311292145990715,1.0,1.0,2115.0,2259.0,1.0,1.0,0.5072104148729221
PTP4A1,-0.2504584995170598,-0.3279053397181355,0.07744684020107573,1.314665140128043,0.1886224672089778,-0.33458639585877625,-0.1686039092659728,-0.4047958420993866,-0.25075493986325886,1.0,1.0,2379.0,2160.0,1.0,1.0,0.5072104148729221
TBX3,-0.20435357061930648,-0.2831000237341573,0.07874645311485085,1.3022274779681895,0.19283863456263017,-0.28950913285480673,-0.11743128434424599,-0.36336667035028714,-0.19633983277020883,1.0,1.0,2406.0,1909.0,1.0,1.0,0.5140732074313176
DIPK1A,-0.18656061790512993,-0.10473403688327101,-0.08182658102185891,-1.3002770977058038,0.19350601458865924,-0.26861381815949925,-0.09718947019485169,-0.2059661983971952,-0.022656419031381103,1.0,0.9865,2393.0,2515.0,1.0,1.0,0.5140732074313176
RBM47,-0.2632854172674238,-0.338768000828901,0.07548258356147719,1.2911533996372417,0.19665049042646143,-0.3445033413760474,-0.1774141871086275,-0.40879930493424044,-0.25504571245871516,1.0,1.0,2612.0,2097.0,1.0,1.0,0.5150832102131438
AP1M1,-0.30238613716258,-0.225198743398327,-0.07718739376425302,-1.2904231118629725,0.19690379184807327,-0.3912587128606422,-0.22063417696237386,-0.30868235048375925,-0.14543665388534843,1.0,1.0,2188.0,2173.0,1.0,1.0,0.5150832102131438
ZNF296,-0.21250242105254877,-0.13208653694009673,-0.08041588411245204,-1.2890227878039524,0.1973901644580982,-0.2930060931020754,-0.12775258300854575,-0.2102091757758608,-0.039884244524265144,1.0,0.997,2581.0,2142.0,1.0,1.0,0.5150832102131438
YBX1,-0.25305718076193834,-0.1748060763730409,-0.07825110438889743,-1.2754791116884774,0.20213971291867294,-0.3338698303217129,-0.15910595486798496,-0.2654761491428946,-0.09158046261178926,1.0,1.0,2393.0,2485.0,1.0,1.0,0.524374196453734
IRF2BP2,-0.19352776186032872,-0.11384565052779913,-0.07968211133252959,-1.2692889052485237,0.2043380419483013,-0.27853980896519287,-0.1039028654764158,-0.20173749010086683,-0.03233084606721226,1.0,0.994,2710.0,2044.0,1.0,1.0,0.526516067533018
PDPR,-0.24133843939630975,-0.16324567730706738,-0.07809276208924237,-1.2664466858256362,0.2053532054777304,-0.32844266848867815,-0.16219181852761522,-0.24576357141005123,-0.08804734710691126,1.0,1.0,2509.0,2318.0,1.0,1.0,0.526516067533018
TADA1,-0.04284730964464456,-0.12339143323403778,0.08054412358939322,1.2613868017273284,0.20716952115232856,-0.12980909634658827,0.04794063690711581,-0.21255203259720007,-0.03913984227395084,0.826,0.998,2491.0,2643.0,1.0,1.0,0.5281026521859936
PCBD1,-0.16584616933062757,-0.24317417899743535,0.07732800966680778,1.2552135825790507,0.20940123611322936,-0.26195197001370296,-0.08685614000435932,-0.3199304599494846,-0.15413002014033111,0.9995,1.0,2268.0,2350.0,1.0,1.0,0.5307238225628399
MYB,-0.31312636589348786,-0.23879399604973742,-0.07433236984375044,-1.2514886091742483,0.21075626694046223,-0.3862528247364719,-0.22846083963487146,-0.3279646063564296,-0.16054133114248437,1.0,1.0,2138.0,2682.0,1.0,1.0,0.5311057926899648
TP63,-0.6887161942233583,-0.728348365436707,0.03963217121334872,1.2387117198705484,0.2154522768667102,-0.7343355474933897,-0.6383831792400896,-0.7680845178965121,-0.6854705188167074,1.0,1.0,1269.0,1140.0,1.0,1.0,0.5398548528307909
PIM1,-0.20189344177464494,-0.27608989806148043,0.0741964562868355,1.2239071908553558,0.2209872406431228,-0.28400446853846534,-0.1182617088052007,-0.3571876530579312,-0.19579224473302043,1.0,1.0,2102.0,2332.0,1.0,1.0,0.5467564782505374
FGD1,-0.22032752151802776,-0.14439955332878418,-0.07592796818924358,-1.2215087659997306,0.2218934486396742,-0.3040330668350681,-0.13457799526131486,-0.22923242593614873,-0.05716078020232329,1.0,1.0,2671.0,2233.0,1.0,1.0,0.5467564782505374
TP53BP2,-0.13984113568069453,-0.062334050188344065,-0.07750708549235047,-1.2178433201039403,0.2232835186131562,-0.22238134225238276,-0.04406501375301097,-0.14464886679736888,0.026819447558355858,0.9985,0.916,2061.0,2446.0,1.0,1.0,0.5467564782505374
DHODH,-0.05265525888862441,-0.13020079568070037,0.07754553679207596,1.216157311008836,0.22392500204296517,-0.1348035246020433,0.04157578515478866,-0.21102650638086645,-0.040935952467422654,0.8765,0.999,2751.0,2589.0,1.0,1.0,0.5467564782505374
BCL2L1,-0.3651554347408801,-0.2956968493151153,-0.06945858542576477,-1.2128007778683638,0.2252059979573231,-0.44891746403220895,-0.2941218757565652,-0.37628347410784113,-0.21481669321012364,1.0,1.0,2048.0,2276.0,1.0,1.0,0.5467564782505374
DOCK2,0.02397409657404659,-0.053612333666374856,0.07758643024042144,1.2068679577284371,0.22748299935357252,-0.059666600408854686,0.12075864128454161,-0.13556300973952262,0.036261779411435935,0.2955,0.888,2539.0,2575.0,1.0,1.0,0.5467564782505374
ARHGAP29,-0.3254699190930528,-0.3929761924344498,0.06750627334139703,1.2056155273750244,0.2279657693448589,-0.4056698053029246,-0.24560628032245196,-0.46604083170459587,-0.31505635131151516,1.0,1.0,2362.0,2339.0,1.0,1.0,0.5467564782505374
MKRN1,-0.18473830461348192,-0.109003023162343,-0.07573528145113892,-1.2038166196196372,0.22866046459228262,-0.26724291432624264,-0.09538130586495569,-0.20056214677418233,-0.02204288578122715,1.0,0.993,2455.0,2411.0,1.0,1.0,0.5467564782505374
DGKI,-0.09926673938682651,-0.17510060153089102,0.07583386214406451,1.2019962976495382,0.2293649625314046,-0.18868215493629914,-0.010528357968752344,-0.2570223399231193,-0.08575344732141549,0.9835,1.0,2082.0,2083.0,1.0,1.0,0.5467564782505374
UGT2B17,-0.1294477050716164,-0.053329610664727856,-0.07611809440688855,-1.1937390721403003,0.23258005147951422,-0.21864579283829683,-0.04639213281911769,-0.13392197566175934,0.043015432677522725,0.9985,0.892,2539.0,2346.0,1.0,1.0,0.548766717087234
