gene,E1_edd_rho,E2_delta_rho,E3_evasion_rho,E4_prism_rho,E6_min_cox_p,E6_mean_hr,composite_score
CITED2,-0.4897295679702812,0.0381086810953942,0.0496125285164832,-0.1997461226012444,9.573981244222328e-05,1.0324940001862566,0.2677710843373494
COPG1,-0.5933184256883615,0.0376808564414319,0.1697565351026829,,,,0.26144578313253014
CDKN2A,-0.5766179566583896,0.0199886784271455,0.0826205747629597,0.2354566168900722,0.0044967361481145,1.0960016253390683,0.25873493975903616
HMGA2,-0.5538952025573576,0.0414163648145214,0.2039205948154424,,,,0.2584337349397591
IRS1,-0.4595109329956832,0.0745683330282471,0.0552686807333557,-0.2173041885358052,0.023396589283699,1.0285777420869107,0.25512048192771086
H2BC8,-0.5353440597141063,0.013084006602911,0.0896921779364171,-0.1878063663708873,0.0021527942562371,1.0484292691012842,0.2545180722891566
DENND4A,-0.4315401009424263,0.2313385810927075,0.0974067947655222,,,,0.2524096385542169
TWIST1,-0.4612072593711797,0.0999413236642019,0.1691789978465937,,,,0.25180722891566265
ARHGAP29,-0.693399598811988,0.0181812341899526,0.1238850858962369,,,,0.24789156626506023
LDB1,-0.4467587394016855,0.1290348584731012,0.1241140207917704,,,,0.24126506024096386
PTMA,-0.4478799240575718,0.0701254188194804,0.2026636840238086,,,,0.2391566265060241
H2BC10,-0.5208720405898775,0.003851603394011,0.0944958224232828,-0.16714431146851,0.0009914053172206,0.9470420154888572,0.23825301204819277
CTNNB1,-0.5312675931391614,0.0259685034406579,0.2964600124664489,,,,0.23493975903614456
ELK3,-0.5316648438820927,0.0401347602933471,0.1741456089963321,,,,0.23463855421686744
ELMO3,-0.9468282911229928,0.0041550421330998,0.0790589966504556,,,,0.22801204819277107
DNAJC15,-0.3545722608469833,0.065722474158274,0.0783957373558294,-0.170279844322312,0.0197384690383104,1.005265852861441,0.22620481927710845
LASP1,-0.5259853478796749,0.0228864131787729,0.2392614144089858,,,,0.2253012048192771
UBE2H,-0.3150221467066787,0.1637992337582806,0.1146841852013822,,,,0.22228915662650603
RHD,-0.4589641512743447,0.0612562645691238,0.0397724325793394,-0.1500615319818175,0.0144068160998443,1.056462424680986,0.2186746987951807
H3C3,-0.5124564713795333,0.0382986666496086,0.1550702198168463,,,,0.21536144578313252
ZNF608,-0.4857581117919337,0.10655239244376,0.0517391075421873,,,,0.20542168674698794
ACTG1,-0.3900637883067832,0.0329558507577436,0.0359457027701256,-0.1910372052904768,0.0010952374268954,1.0668951863512055,0.20210843373493975
SQSTM1,-0.4952542512912687,0.0853201006860449,0.0575421747779543,,,,0.20060240963855422
YPEL5,-0.4686896105235688,0.0648225825102752,0.0946211146705122,,,,0.2003012048192771
PPARG,-0.4856077970718687,0.0776736991457397,0.0699104091128554,,,,0.19879518072289157
H4C13,-0.4647119191250077,0.105812997897779,0.0580886460668124,,,,0.19759036144578312
GLIPR1L2,-0.6010091892171695,0.0117505280034192,0.0937022541837827,,,,0.19638554216867468
MSN,-0.4678094558432597,0.0258022294722226,0.17780254907618,,,,0.19578313253012047
FERMT1,-0.5797489054316687,0.0029313614179008,0.1220067931630405,,,,0.19427710843373494
KRAS,-0.5427057663966594,0.0185387078207953,0.1196428018276017,,,,0.18825301204819275
KLF6,-0.4020455123845238,0.1092287065585049,0.0679767806844299,,,,0.18704819277108434
BET1L,-0.4903412350080252,0.0713979456631007,0.0330827422810997,,,,0.18343373493975904
EVA1A,-0.430307448899444,0.019511262530944,0.2119062563960659,,,,0.1813253012048193
SOCS3,-0.4222345416815892,0.0193966660232962,0.2030668977435699,,,,0.1746987951807229
DUSP10,-0.5127825586375072,0.0221824773094564,0.0986575889418463,,,,0.17078313253012045
SNAI1,-0.3747463584262642,0.0504623343959792,0.1215826541803774,,,,0.16927710843373492
GAB2,-0.572171694370373,0.0105604152448021,0.0675606272828657,,,,0.16656626506024097
TUBB,-0.4619261052332412,0.0092239171717131,0.1645916973278403,,,,0.1650602409638554
PSIP1,-0.5381294473070027,0.0320970369987568,0.0442009425453804,,,,0.15963855421686746
KCNK5,-0.3934239398845252,0.0294333906679923,0.1363963274124735,,,,0.15692771084337348
RPL17,-0.5111497680725263,0.029924738795891,0.0603036119722264,,,,0.1506024096385542
SINHCAF,-0.3829679431367089,0.0245931104694571,0.1306528703487164,,,,0.14789156626506023
SKA2,-0.3108621233803811,0.052103212782309,0.0854145265965099,,,,0.14367469879518072
RAPGEFL1,-0.5119312874404246,0.005476892498252,0.0834956799884163,,,,0.1433734939759036
RNF217,-0.4957548191920427,0.0179320878521825,0.0711884329582119,,,,0.14156626506024095
CEBPB,-0.4226391104893365,0.0364089916680216,0.0698025903543909,,,,0.13072289156626504
AXL,-0.2873758666941975,0.0117286935149128,0.1636390255509264,,,,0.13042168674698795
YBX1,-0.2765959808831019,0.0548116548901699,0.0698351675906094,,,,0.1286144578313253
IFNE,-0.394285540564444,0.0348126432457219,0.0757681503047684,,,,0.12831325301204818
MFSD14B,-0.3242191481169976,0.0476832270257626,0.0462052339769896,,,,0.11506024096385542
PHF23,-0.2973599593871993,0.0233306355969378,0.0715389937087571,,,,0.09879518072289156
ERBB3,-0.3345454737111448,0.0039535727841693,0.0791711882523213,,,,0.08855421686746986
